YEAR            MONTH        DAY        HOUR      MINUTE   N_Cluster         LON         LAT       IND_X       IND_Y     REFLECT   yyyyy_xx1   yyyyy_xx2 yyyyyyy_xx3     yyy_xx4     yyy_xx5       RIVER         CXE    PRECIPIT         VIL
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.5514     -1.7289     92.0000     49.0000     23.2344      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.2944      0.3540
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.5314     -1.7289     93.0000     49.0000     21.4844      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9895      0.3005
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.5114     -1.7289     94.0000     49.0000     22.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0710      0.3114
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.4914     -1.7289     95.0000     49.0000     22.1875      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.1022      0.3038
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.6514     -1.7489     87.0000     50.0000     20.7031      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8776      0.1573
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.6314     -1.7489     88.0000     50.0000     20.1875      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8109      0.1472
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.6114     -1.7489     89.0000     50.0000     20.3594      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8325      0.2434
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.5914     -1.7489     90.0000     50.0000     20.4688      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8466      0.2566
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.5714     -1.7489     91.0000     50.0000     23.9219      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.4385      0.3757
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.5514     -1.7489     92.0000     50.0000     24.3125      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.5274      0.3840
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.5314     -1.7489     93.0000     50.0000     24.2188      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.5055      0.3691
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.5114     -1.7489     94.0000     50.0000     25.1406      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.5605      0.4048
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.4914     -1.7489     95.0000     50.0000     22.7344      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.1988      0.3437
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.4714     -1.7489     96.0000     50.0000     24.7188      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.6256      0.3105
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.5914     -1.7689     90.0000     51.0000     20.8750      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9011      0.2388
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.5714     -1.7689     91.0000     51.0000     21.7031      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0233      0.3072
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.5514     -1.7689     92.0000     51.0000     22.8281      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.2161      0.3272
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.5314     -1.7689     93.0000     51.0000     26.5156      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      3.1759      0.4472
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.5114     -1.7689     94.0000     51.0000     25.5000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      2.0000      2.7088      0.4294
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.4914     -1.7689     95.0000     51.0000     24.0938      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.4769      0.3003
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.4714     -1.7689     96.0000     51.0000     24.3125      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.5274      0.3020
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.5914     -1.7889     90.0000     52.0000     20.9062      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9054      0.1620
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.5714     -1.7889     91.0000     52.0000     20.7969      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8904      0.2276
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.5514     -1.7889     92.0000     52.0000     21.8594      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0481      0.2469
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.5314     -1.7889     93.0000     52.0000     21.8750      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0506      0.2371
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.5114     -1.7889     94.0000     52.0000     21.0156      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9208      0.2311
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.4914     -1.7889     95.0000     52.0000     20.9375      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9098      0.2305
2014.0000      2.0000      1.0000      0.0000      0.0000      3.0000    -60.5514     -1.8089     92.0000     53.0000     21.6562      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0159      0.1783
2014.0000      2.0000      1.0000      0.0000     12.0000      1.0000    -60.5514     -1.6689     92.0000     46.0000     21.2031      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9477      0.1680
2014.0000      2.0000      1.0000      0.0000     12.0000      1.0000    -60.5314     -1.6689     93.0000     46.0000     21.2031      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9477      0.1680
2014.0000      2.0000      1.0000      0.0000     12.0000      1.0000    -60.5714     -1.6889     91.0000     47.0000     21.3594      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9707      0.2305
2014.0000      2.0000      1.0000      0.0000     12.0000      1.0000    -60.5514     -1.6889     92.0000     47.0000     21.7500      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      1.0306      0.2357
2014.0000      2.0000      1.0000      0.0000     12.0000      1.0000    -60.5314     -1.6889     93.0000     47.0000     20.9844      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9164      0.2228
2014.0000      2.0000      1.0000      0.0000     12.0000      1.0000    -60.5714     -1.7089     91.0000     48.0000     21.3125      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9637      0.2476
2014.0000      2.0000      1.0000      0.0000     12.0000      1.0000    -60.5514     -1.7089     92.0000     48.0000     20.3281      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8285      0.2126
2014.0000      2.0000      1.0000      0.0000     12.0000      1.0000    -60.5314     -1.7089     93.0000     48.0000     20.7031      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8776      0.2271
2014.0000      2.0000      1.0000      0.0000     12.0000      1.0000    -60.5514     -1.7289     92.0000     49.0000     20.4375      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8426      0.2257
2014.0000      2.0000      1.0000      0.0000     12.0000      1.0000    -60.5314     -1.7289     93.0000     49.0000     20.7344      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8819      0.2224
2014.0000      2.0000      1.0000      0.0000     12.0000      1.0000    -60.5114     -1.7289     94.0000     49.0000     20.7031      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8776      0.2185
2014.0000      2.0000      1.0000      0.0000     12.0000      1.0000    -60.4914     -1.7289     95.0000     49.0000     20.7031      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.8776      0.2169
2014.0000      2.0000      1.0000      0.0000     12.0000      1.0000    -60.5714     -1.7489     91.0000     50.0000     21.1250      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      1.0000      0.9364      0.2301
